,strain,plasmid,backbone,iptg,rrpu
395,DH5alpha,Hiyiir_h1,pAN,2000,0.2576158716407455
396,DH5alpha,Lcara_i1,pAN,1,2.2618554168691265
397,DH5alpha,Lcara_i1,pAN,5,1.3153043742670878
398,DH5alpha,Lcara_i1,pAN,10,1.6639205286514598
399,DH5alpha,Lcara_i1,pAN,20,0.4645193351625792
400,DH5alpha,Lcara_i1,pAN,30,0.3783521668000723
401,DH5alpha,Lcara_i1,pAN,40,0.35456354647442617
402,DH5alpha,Lcara_i1,pAN,70,0.3193299705887361
403,DH5alpha,Lcara_i1,pAN,100,0.33118749247132595
404,DH5alpha,Lcara_i1,pAN,200,0.3164723848372455
405,DH5alpha,Lcara_i1,pAN,500,0.2776931729881569
406,DH5alpha,Lcara_i1,pAN,1000,0.27141192473574144
407,DH5alpha,Lcara_i1,pAN,2000,0.2283317880475885
408,DH5alpha,Litr_l1,pAN,1,7.861127274751858
409,DH5alpha,Litr_l1,pAN,5,5.261412730886998
410,DH5alpha,Litr_l1,pAN,10,3.2726133198757466
411,DH5alpha,Litr_l1,pAN,20,1.091959544790006
412,DH5alpha,Litr_l1,pAN,30,0.5187000324655813
413,DH5alpha,Litr_l1,pAN,40,0.4291183326805045
414,DH5alpha,Litr_l1,pAN,70,0.3649733307041929
415,DH5alpha,Litr_l1,pAN,100,0.41964763664724347
416,DH5alpha,Litr_l1,pAN,200,0.3471370951604369
417,DH5alpha,Litr_l1,pAN,500,0.3581105865535883
418,DH5alpha,Litr_l1,pAN,1000,0.3561717417668868
419,DH5alpha,Litr_l1,pAN,2000,0.3280452908876428
420,DH5alpha,Lmra_n1,pAN,1,1.8376157168197635
421,DH5alpha,Lmra_n1,pAN,5,1.2202430117799468
422,DH5alpha,Lmra_n1,pAN,10,0.8074867195191244
423,DH5alpha,Lmra_n1,pAN,20,0.3980582574402775
424,DH5alpha,Lmra_n1,pAN,30,0.3129537795657836
425,DH5alpha,Lmra_n1,pAN,40,0.3237690937720325
426,DH5alpha,Lmra_n1,pAN,70,0.3189694333310039
427,DH5alpha,Lmra_n1,pAN,100,0.3745922365889684
428,DH5alpha,Lmra_n1,pAN,200,0.3733637390380313
429,DH5alpha,Lmra_n1,pAN,500,0.3696589506629504
430,DH5alpha,Lmra_n1,pAN,1000,0.3336089624228856
431,DH5alpha,Lmra_n1,pAN,2000,0.3797307299564314
432,DH5alpha,Phif_p1,pAN,1,5.948768148257271
433,DH5alpha,Phif_p1,pAN,5,0.6174196722536182
434,DH5alpha,Phif_p1,pAN,10,0.312564590602666
435,DH5alpha,Phif_p1,pAN,20,0.3060422517205497
436,DH5alpha,Phif_p1,pAN,30,0.3031649730571398
437,DH5alpha,Phif_p1,pAN,40,0.27618008144761114
438,DH5alpha,Phif_p1,pAN,70,0.2880222994731264
439,DH5alpha,Phif_p1,pAN,100,0.32011963546710576
440,DH5alpha,Phif_p1,pAN,200,0.2896373934136329
441,DH5alpha,Phif_p1,pAN,500,0.2974706009158698
442,DH5alpha,Phif_p1,pAN,1000,0.2698298320887018
443,DH5alpha,Phif_p1,pAN,2000,0.3065532599386447
444,DH5alpha,Phif_p2,pAN,1,10.85184498412207
445,DH5alpha,Phif_p2,pAN,5,7.6570596206909265
446,DH5alpha,Phif_p2,pAN,10,4.544085586373184
447,DH5alpha,Phif_p2,pAN,20,1.2513067890695144
448,DH5alpha,Phif_p2,pAN,30,0.3992921278190608
449,DH5alpha,Phif_p2,pAN,40,0.3064494691830051
450,DH5alpha,Phif_p2,pAN,70,0.3232214289136924
451,DH5alpha,Phif_p2,pAN,100,0.3580771549964256
452,DH5alpha,Phif_p2,pAN,200,0.2979040633952343
453,DH5alpha,Phif_p2,pAN,500,0.3167865339100381
454,DH5alpha,Phif_p2,pAN,1000,0.2700761020927325
455,DH5alpha,Phif_p2,pAN,2000,0.2949136666953436
456,DH5alpha,Phif_p3,pAN,1,11.763118573742142
457,DH5alpha,Phif_p3,pAN,5,5.9883435819650686
458,DH5alpha,Phif_p3,pAN,10,2.3245749206215884
459,DH5alpha,Phif_p3,pAN,20,0.4399278911037425
460,DH5alpha,Phif_p3,pAN,30,0.34271643692613424
461,DH5alpha,Phif_p3,pAN,40,0.2793006760621669
462,DH5alpha,Phif_p3,pAN,70,0.2515163262825205
463,DH5alpha,Phif_p3,pAN,100,0.2286755423132273
464,DH5alpha,Phif_p3,pAN,200,0.26391916769393603
465,DH5alpha,Phif_p3,pAN,500,0.24899268016761555
466,DH5alpha,Phif_p3,pAN,1000,0.24923066199284766
467,DH5alpha,Phif_p3,pAN,2000,0.22287760604862056
468,DH5alpha,Psra_r1,pAN,1,8.121031204256804
469,DH5alpha,Psra_r1,pAN,5,3.7440590492471073
470,DH5alpha,Psra_r1,pAN,10,1.5327333466749575
471,DH5alpha,Psra_r1,pAN,20,0.4011765460754389
472,DH5alpha,Psra_r1,pAN,30,0.14697793035528786
473,DH5alpha,Psra_r1,pAN,40,0.26406316806711005
474,DH5alpha,Psra_r1,pAN,70,0.7522212321120849
475,DH5alpha,Psra_r1,pAN,100,0.8175307559333559
476,DH5alpha,Psra_r1,pAN,200,0.8456131614868969
477,DH5alpha,Psra_r1,pAN,500,0.8448813850435086
478,DH5alpha,Psra_r1,pAN,1000,0.8206106373395509
479,DH5alpha,Psra_r1,pAN,2000,0.34096338826452943
480,DH5alpha,Qacr_q1,pAN,1,1.8067734085988159
481,DH5alpha,Qacr_q1,pAN,5,0.5788074240577156
482,DH5alpha,Qacr_q1,pAN,10,0.14230133643561807
483,DH5alpha,Qacr_q1,pAN,20,0.013771706637325735
484,DH5alpha,Qacr_q1,pAN,30,0.01718749406756694
485,DH5alpha,Qacr_q1,pAN,40,0.015385357496920224
486,DH5alpha,Qacr_q1,pAN,70,0.0006456679399474593
487,DH5alpha,Qacr_q1,pAN,100,0.014309914701870931
488,DH5alpha,Qacr_q1,pAN,200,0.3510868197204829
489,DH5alpha,Qacr_q1,pAN,500,0.4281928942053196
490,DH5alpha,Qacr_q1,pAN,1000,0.2987491932862357
491,DH5alpha,Qacr_q1,pAN,2000,0.14236099242280978
492,DH5alpha,Qacr_q2,pAN,1,5.053462222421095
493,DH5alpha,Qacr_q2,pAN,5,2.3628656074272296
494,DH5alpha,Qacr_q2,pAN,10,1.0540648586704802
495,DH5alpha,Qacr_q2,pAN,20,0.13762157918989348
496,DH5alpha,Qacr_q2,pAN,30,0.03548131480622769
497,DH5alpha,Qacr_q2,pAN,40,0.06340388495942527
498,DH5alpha,Qacr_q2,pAN,70,0.05746266995582675
499,DH5alpha,Qacr_q2,pAN,100,0.04211394687552097
500,DH5alpha,Qacr_q2,pAN,200,0.0425854619542406
501,DH5alpha,Qacr_q2,pAN,500,0.05192447406226895
502,DH5alpha,Qacr_q2,pAN,1000,0.07564304061426863
503,DH5alpha,Qacr_q2,pAN,2000,0.09101978563471286
504,DH5alpha,Srpr_s1,pAN,1,0.7861680828194836
505,DH5alpha,Srpr_s1,pAN,5,0.12058388779073707
506,DH5alpha,Srpr_s1,pAN,10,0.06413487844298753
507,DH5alpha,Srpr_s1,pAN,20,0.03799236857639898
508,DH5alpha,Srpr_s1,pAN,30,0.053637905234760384
509,DH5alpha,Srpr_s1,pAN,40,0.06609876437407645
510,DH5alpha,Srpr_s1,pAN,70,0.06843054142571088
511,DH5alpha,Srpr_s1,pAN,100,0.07454971865033505
512,DH5alpha,Srpr_s1,pAN,200,0.08843699038878268
513,DH5alpha,Srpr_s1,pAN,500,0.06446984711974563
514,DH5alpha,Srpr_s1,pAN,1000,0.0937390592075808
515,DH5alpha,Srpr_s1,pAN,2000,0.08121332430856018
516,DH5alpha,Srpr_s2,pAN,1,2.209609833503288
517,DH5alpha,Srpr_s2,pAN,5,1.145034345662472
518,DH5alpha,Srpr_s2,pAN,10,0.7881423272677233
519,DH5alpha,Srpr_s2,pAN,20,0.18658356668018972
520,DH5alpha,Srpr_s2,pAN,30,0.07741741520562273
521,DH5alpha,Srpr_s2,pAN,40,0.06901641703657664
522,DH5alpha,Srpr_s2,pAN,70,0.023585093054204274
523,DH5alpha,Srpr_s2,pAN,100,0.03880967560684052
524,DH5alpha,Srpr_s2,pAN,200,0.0580310264735828
525,DH5alpha,Srpr_s2,pAN,500,0.04603019627137296
526,DH5alpha,Srpr_s2,pAN,1000,0.04019877819966433
527,DH5alpha,Srpr_s2,pAN,2000,0.0749250708854373
528,DH5alpha,Srpr_s3,pAN,1,2.1385210468200326
529,DH5alpha,Srpr_s3,pAN,5,0.9316890112581724
530,DH5alpha,Srpr_s3,pAN,10,0.4283555757769682
531,DH5alpha,Srpr_s3,pAN,20,0.12028365796684196
532,DH5alpha,Srpr_s3,pAN,30,0.03184331142265053
533,DH5alpha,Srpr_s3,pAN,40,0.021623303928723827
534,DH5alpha,Srpr_s3,pAN,70,0.01693691553457114
535,DH5alpha,Srpr_s3,pAN,100,0.01112830994342308
536,DH5alpha,Srpr_s3,pAN,200,0.005919885009513078
537,DH5alpha,Srpr_s3,pAN,500,0.0
538,DH5alpha,Srpr_s3,pAN,1000,0.009350701599427629
539,DH5alpha,Srpr_s3,pAN,2000,0.027234201617734613
540,DH5alpha,Srpr_s4,pAN,1,1.9690508880146012
541,DH5alpha,Srpr_s4,pAN,5,1.5133179168598996
542,DH5alpha,Srpr_s4,pAN,10,1.080723655280396
543,DH5alpha,Srpr_s4,pAN,20,0.6190253360848146
544,DH5alpha,Srpr_s4,pAN,30,0.153087971580343
545,DH5alpha,Srpr_s4,pAN,40,0.1034587536972162
546,DH5alpha,Srpr_s4,pAN,70,0.060735436599963125
547,DH5alpha,Srpr_s4,pAN,100,0.06227958003613211
548,DH5alpha,Srpr_s4,pAN,200,0.1441834117416363
549,DH5alpha,Srpr_s4,pAN,500,0.06074599959738579
550,DH5alpha,Srpr_s4,pAN,1000,0.07988497337903873
551,DH5alpha,Srpr_s4,pAN,2000,0.052174121338133685
552,DH5alpha,1201,pSeva221,1,0.15433495301164588
553,DH5alpha,1201,pSeva221,5,0.13372984263641627
554,DH5alpha,1201,pSeva221,10,0.14707327431846348
555,DH5alpha,1201,pSeva221,20,0.12906352869226173
556,DH5alpha,1201,pSeva221,30,0.15190258350607005
557,DH5alpha,1201,pSeva221,40,0.14015686782949696
558,DH5alpha,1201,pSeva221,70,0.1325768876513482
559,DH5alpha,1201,pSeva221,100,0.1346605310670778
560,DH5alpha,1201,pSeva221,200,0.12745295391841327
561,DH5alpha,1201,pSeva221,500,0.12576351818472362
562,DH5alpha,1201,pSeva221,1000,0.13174338291117355
563,DH5alpha,1201,pSeva221,2000,0.12766470218437925
564,DH5alpha,1717,pSeva221,1,1.5668060418754408
565,DH5alpha,1717,pSeva221,5,1.095700618366662
566,DH5alpha,1717,pSeva221,10,1.1488290380922812
567,DH5alpha,1717,pSeva221,20,0.5985018454188942
568,DH5alpha,1717,pSeva221,30,0.6628668124047645
569,DH5alpha,1717,pSeva221,40,0.6934706146032805
570,DH5alpha,1717,pSeva221,70,1.7970046875948065
571,DH5alpha,1717,pSeva221,100,1.3497305913700903
572,DH5alpha,1717,pSeva221,200,0.5960173092677609
573,DH5alpha,1717,pSeva221,500,0.9819008055555384
574,DH5alpha,1717,pSeva221,1000,1.2746000533967334
575,DH5alpha,1717,pSeva221,2000,0.8990885398985952
576,DH5alpha,1818,pSeva221,1,0.12579843585158798
577,DH5alpha,1818,pSeva221,5,0.12478554163611233
578,DH5alpha,1818,pSeva221,10,0.13302793931980236
579,DH5alpha,1818,pSeva221,20,0.15291727722276918
580,DH5alpha,1818,pSeva221,30,0.2768573155854485
581,DH5alpha,1818,pSeva221,40,0.4949691839858054
582,DH5alpha,1818,pSeva221,70,1.3108673071980617
583,DH5alpha,1818,pSeva221,100,2.2307544105353374
584,DH5alpha,1818,pSeva221,200,1.2858890153199418
585,DH5alpha,1818,pSeva221,500,1.5796929078933373
586,DH5alpha,1818,pSeva221,1000,2.314063916010189
587,DH5alpha,1818,pSeva221,2000,2.4744734081057795
588,DH5alpha,Amer_f1,pSeva221,1,9.006834790375835
589,DH5alpha,Amer_f1,pSeva221,5,5.8144216393076285
590,DH5alpha,Amer_f1,pSeva221,10,5.21679841201375
591,DH5alpha,Amer_f1,pSeva221,20,3.6339234422700177
592,DH5alpha,Amer_f1,pSeva221,30,2.0139505070588464
593,DH5alpha,Amer_f1,pSeva221,40,2.4210151832991182
594,DH5alpha,Amer_f1,pSeva221,70,2.4518868556808733
595,DH5alpha,Amer_f1,pSeva221,100,1.9383772659491505
596,DH5alpha,Amer_f1,pSeva221,200,0.8187395965868286
597,DH5alpha,Amer_f1,pSeva221,500,0.8413536521179005
598,DH5alpha,Amer_f1,pSeva221,1000,1.2843929656539712
599,DH5alpha,Amer_f1,pSeva221,2000,1.2996586077909082
600,DH5alpha,Amtr_a1,pSeva221,1,0.3886985624304044
601,DH5alpha,Amtr_a1,pSeva221,5,0.14537892814877254
602,DH5alpha,Amtr_a1,pSeva221,10,0.1361244709098875
603,DH5alpha,Amtr_a1,pSeva221,20,0.12177669291841985
604,DH5alpha,Amtr_a1,pSeva221,30,0.11617623125534254
605,DH5alpha,Amtr_a1,pSeva221,40,0.1219229924547836
606,DH5alpha,Amtr_a1,pSeva221,70,0.13091383181658345
607,DH5alpha,Amtr_a1,pSeva221,100,0.10575325195454686
608,DH5alpha,Amtr_a1,pSeva221,200,0.08126128449294062
609,DH5alpha,Amtr_a1,pSeva221,500,0.07909745334618301
610,DH5alpha,Amtr_a1,pSeva221,1000,0.0792867741319578
611,DH5alpha,Amtr_a1,pSeva221,2000,0.07156764538383731
612,DH5alpha,Beti_e1,pSeva221,1,2.9590931233911717
613,DH5alpha,Beti_e1,pSeva221,5,0.9930427072555608
614,DH5alpha,Beti_e1,pSeva221,10,0.6305388521592377
615,DH5alpha,Beti_e1,pSeva221,20,0.16553721808780156
616,DH5alpha,Beti_e1,pSeva221,30,0.1369049758146393
617,DH5alpha,Beti_e1,pSeva221,40,0.12221761002978583
618,DH5alpha,Beti_e1,pSeva221,70,0.1292905065246342
619,DH5alpha,Beti_e1,pSeva221,100,0.15615313388911767
620,DH5alpha,Beti_e1,pSeva221,200,0.1485837441083441
621,DH5alpha,Beti_e1,pSeva221,500,0.15561472582378888
622,DH5alpha,Beti_e1,pSeva221,1000,0.16527478952169675
623,DH5alpha,Beti_e1,pSeva221,2000,0.17422536389937626
624,DH5alpha,Bm3r1_b1,pSeva221,1,0.13671561772765098
625,DH5alpha,Bm3r1_b1,pSeva221,5,0.12406754450250702
626,DH5alpha,Bm3r1_b1,pSeva221,10,0.13380919658345086
627,DH5alpha,Bm3r1_b1,pSeva221,20,0.12190901792142735
628,DH5alpha,Bm3r1_b1,pSeva221,30,0.12322386464187482
629,DH5alpha,Bm3r1_b1,pSeva221,40,0.11664201680273666
630,DH5alpha,Bm3r1_b1,pSeva221,70,0.1199913241336136
631,DH5alpha,Bm3r1_b1,pSeva221,100,0.12289547466715713
632,DH5alpha,Bm3r1_b1,pSeva221,200,0.11852332787404768
633,DH5alpha,Bm3r1_b1,pSeva221,500,0.12966388858188513
634,DH5alpha,Bm3r1_b1,pSeva221,1000,0.1202195295374104
635,DH5alpha,Bm3r1_b1,pSeva221,2000,0.11410277508655813
636,DH5alpha,Bm3r1_b2,pSeva221,1,0.1211675885848962
637,DH5alpha,Bm3r1_b2,pSeva221,5,0.10705266367110963
638,DH5alpha,Bm3r1_b2,pSeva221,10,0.0698028475842613
639,DH5alpha,Bm3r1_b2,pSeva221,20,0.01995413895878248
640,DH5alpha,Bm3r1_b2,pSeva221,30,0.0356218587077678
641,DH5alpha,Bm3r1_b2,pSeva221,40,0.04163883028152423
642,DH5alpha,Bm3r1_b2,pSeva221,70,0.02747214518376701
643,DH5alpha,Bm3r1_b2,pSeva221,100,0.0
644,DH5alpha,Bm3r1_b2,pSeva221,200,0.03884667027227055
645,DH5alpha,Bm3r1_b2,pSeva221,500,0.08775487370704924
646,DH5alpha,Bm3r1_b2,pSeva221,1000,0.10856129983810303
647,DH5alpha,Bm3r1_b2,pSeva221,2000,0.104567883361108
648,DH5alpha,Bm3r1_b3,pSeva221,1,0.6379142566244997
649,DH5alpha,Bm3r1_b3,pSeva221,5,0.4808483187608266
650,DH5alpha,Bm3r1_b3,pSeva221,10,0.4420532522871046
651,DH5alpha,Bm3r1_b3,pSeva221,20,0.3132723853242782
652,DH5alpha,Bm3r1_b3,pSeva221,30,0.21658532839056707
653,DH5alpha,Bm3r1_b3,pSeva221,40,0.1732667245517844
654,DH5alpha,Bm3r1_b3,pSeva221,70,0.12537664285728836
655,DH5alpha,Bm3r1_b3,pSeva221,100,0.12951010204094265
656,DH5alpha,Bm3r1_b3,pSeva221,200,0.11232877862594466
657,DH5alpha,Bm3r1_b3,pSeva221,500,0.12144843393703672
658,DH5alpha,Bm3r1_b3,pSeva221,1000,0.13073028133996745
659,DH5alpha,Bm3r1_b3,pSeva221,2000,0.11927128791435555
660,DH5alpha,Hiyiir_h1,pSeva221,1,0.1257838880064963
661,DH5alpha,Hiyiir_h1,pSeva221,5,0.1188402301112118
662,DH5alpha,Hiyiir_h1,pSeva221,10,0.11506416805433815
663,DH5alpha,Hiyiir_h1,pSeva221,20,0.11762655034316427
664,DH5alpha,Hiyiir_h1,pSeva221,30,0.11068886956823346
665,DH5alpha,Hiyiir_h1,pSeva221,40,0.1143487403180649
666,DH5alpha,Hiyiir_h1,pSeva221,70,0.1246909596002451
667,DH5alpha,Hiyiir_h1,pSeva221,100,0.12219036863905693
668,DH5alpha,Hiyiir_h1,pSeva221,200,0.1077039250316912
669,DH5alpha,Hiyiir_h1,pSeva221,500,0.09592498148616327
670,DH5alpha,Hiyiir_h1,pSeva221,1000,0.07920400011926669
671,DH5alpha,Hiyiir_h1,pSeva221,2000,0.08785544877132771
672,DH5alpha,Lcara_i1,pSeva221,1,0.4937342026904318
673,DH5alpha,Lcara_i1,pSeva221,5,0.19601800656965154
674,DH5alpha,Lcara_i1,pSeva221,10,0.15915014714259978
675,DH5alpha,Lcara_i1,pSeva221,20,0.13081482069443426
676,DH5alpha,Lcara_i1,pSeva221,30,0.1232208466827354
677,DH5alpha,Lcara_i1,pSeva221,40,0.12261390423317622
678,DH5alpha,Lcara_i1,pSeva221,70,0.12167633324810345
679,DH5alpha,Lcara_i1,pSeva221,100,0.11199367705263308
680,DH5alpha,Lcara_i1,pSeva221,200,0.10326244301165076
681,DH5alpha,Lcara_i1,pSeva221,500,0.09479166866745156
682,DH5alpha,Lcara_i1,pSeva221,1000,0.08076873829755123
683,DH5alpha,Lcara_i1,pSeva221,2000,0.08990209990871707
684,DH5alpha,Litr_l1,pSeva221,1,1.6040485371031767
685,DH5alpha,Litr_l1,pSeva221,5,0.6114723181580112
686,DH5alpha,Litr_l1,pSeva221,10,0.35781090733184623
687,DH5alpha,Litr_l1,pSeva221,20,0.15652659833204166
688,DH5alpha,Litr_l1,pSeva221,30,0.1445573910594456
689,DH5alpha,Litr_l1,pSeva221,40,0.13523864054686932
690,DH5alpha,Litr_l1,pSeva221,70,0.1421358266140083
691,DH5alpha,Litr_l1,pSeva221,100,0.1421005404448971
692,DH5alpha,Litr_l1,pSeva221,200,0.13916522435039186
693,DH5alpha,Litr_l1,pSeva221,500,0.15822133483419026
694,DH5alpha,Litr_l1,pSeva221,1000,0.14435441091889414
695,DH5alpha,Litr_l1,pSeva221,2000,0.14459529488656314
696,DH5alpha,Lmra_n1,pSeva221,1,0.33525888747693744
697,DH5alpha,Lmra_n1,pSeva221,5,0.2501574292766956
698,DH5alpha,Lmra_n1,pSeva221,10,0.16584585895875273
699,DH5alpha,Lmra_n1,pSeva221,20,0.127988652787215
700,DH5alpha,Lmra_n1,pSeva221,30,0.12193152016776945
701,DH5alpha,Lmra_n1,pSeva221,40,0.12358154377453855
702,DH5alpha,Lmra_n1,pSeva221,70,0.1344243820148588
703,DH5alpha,Lmra_n1,pSeva221,100,0.16084927478495747
704,DH5alpha,Lmra_n1,pSeva221,200,0.14452811114859698
705,DH5alpha,Lmra_n1,pSeva221,500,0.17095877631141024
706,DH5alpha,Lmra_n1,pSeva221,1000,0.18724432383027734
707,DH5alpha,Lmra_n1,pSeva221,2000,0.15388645569508447
708,DH5alpha,Phif_p1,pSeva221,1,6.209556420753727
709,DH5alpha,Phif_p1,pSeva221,5,5.49955536063318
710,DH5alpha,Phif_p1,pSeva221,10,5.281209930485503
711,DH5alpha,Phif_p1,pSeva221,20,4.4363339149188326
712,DH5alpha,Phif_p1,pSeva221,30,4.71334972152809
713,DH5alpha,Phif_p1,pSeva221,40,5.8177884482636335
714,DH5alpha,Phif_p1,pSeva221,70,4.568959513327684
715,DH5alpha,Phif_p1,pSeva221,100,4.488591773162248
716,DH5alpha,Phif_p1,pSeva221,200,4.571217374869972
717,DH5alpha,Phif_p1,pSeva221,500,5.790556508264111
718,DH5alpha,Phif_p1,pSeva221,1000,6.155714427608634
719,DH5alpha,Phif_p1,pSeva221,2000,5.602194087515687
720,DH5alpha,Phif_p2,pSeva221,1,5.700824041783125
721,DH5alpha,Phif_p2,pSeva221,5,3.696839304527293
722,DH5alpha,Phif_p2,pSeva221,10,3.3429122652574303
723,DH5alpha,Phif_p2,pSeva221,20,1.109061875175445
724,DH5alpha,Phif_p2,pSeva221,30,0.3360778636062327
725,DH5alpha,Phif_p2,pSeva221,40,0.2687625479738859
726,DH5alpha,Phif_p2,pSeva221,70,0.11905820590501355
727,DH5alpha,Phif_p2,pSeva221,100,0.11206307996697323
728,DH5alpha,Phif_p2,pSeva221,200,0.11024599419115576
729,DH5alpha,Phif_p2,pSeva221,500,0.13408872310170758
730,DH5alpha,Phif_p2,pSeva221,1000,0.12001978071658675
731,DH5alpha,Phif_p2,pSeva221,2000,0.11811719093201573
732,DH5alpha,Phif_p3,pSeva221,1,3.077944507977174
733,DH5alpha,Phif_p3,pSeva221,5,0.8156938188009535
734,DH5alpha,Phif_p3,pSeva221,10,0.20987390194388436
735,DH5alpha,Phif_p3,pSeva221,20,0.10672369955666013
736,DH5alpha,Phif_p3,pSeva221,30,0.10274190416815483
737,DH5alpha,Phif_p3,pSeva221,40,0.10325296768548474
738,DH5alpha,Phif_p3,pSeva221,70,0.026674949986706338
739,DH5alpha,Phif_p3,pSeva221,100,0.10095145104067008
740,DH5alpha,Phif_p3,pSeva221,200,0.10805184103332373
741,DH5alpha,Phif_p3,pSeva221,500,0.11535809625346535
742,DH5alpha,Phif_p3,pSeva221,1000,0.11936573749664173
743,DH5alpha,Phif_p3,pSeva221,2000,0.12262598847643395
744,DH5alpha,Psra_r1,pSeva221,1,0.3425983241650439
745,DH5alpha,Psra_r1,pSeva221,5,0.16727634803811653
746,DH5alpha,Psra_r1,pSeva221,10,0.1925172438812892
747,DH5alpha,Psra_r1,pSeva221,20,0.2449254709470799
748,DH5alpha,Psra_r1,pSeva221,30,0.2062109686418009
749,DH5alpha,Psra_r1,pSeva221,40,0.2063027662963153
750,DH5alpha,Psra_r1,pSeva221,70,0.2023845864966161
751,DH5alpha,Psra_r1,pSeva221,100,0.14301401645515105
752,DH5alpha,Psra_r1,pSeva221,200,0.037492156326864944
753,DH5alpha,Psra_r1,pSeva221,500,0.03397922393388972
754,DH5alpha,Psra_r1,pSeva221,1000,0.01912050127750078
755,DH5alpha,Psra_r1,pSeva221,2000,0.01747702901737024
756,DH5alpha,Qacr_q1,pSeva221,1,0.1176257344519932
757,DH5alpha,Qacr_q1,pSeva221,5,0.12038581585177001
758,DH5alpha,Qacr_q1,pSeva221,10,0.10308918729986907
759,DH5alpha,Qacr_q1,pSeva221,20,0.112423789418987
760,DH5alpha,Qacr_q1,pSeva221,30,0.11050170103198614
761,DH5alpha,Qacr_q1,pSeva221,40,0.10750626308441616
762,DH5alpha,Qacr_q1,pSeva221,70,0.13000749979291407
763,DH5alpha,Qacr_q1,pSeva221,100,0.04719506597722042
764,DH5alpha,Qacr_q1,pSeva221,200,0.012959943292825205
765,DH5alpha,Qacr_q1,pSeva221,500,0.010960866499998554
766,DH5alpha,Qacr_q1,pSeva221,1000,0.005966369534204021
767,DH5alpha,Qacr_q1,pSeva221,2000,0.004240621065900225
768,DH5alpha,Qacr_q2,pSeva221,1,0.5315391658505183
769,DH5alpha,Qacr_q2,pSeva221,5,0.2605367633698115
770,DH5alpha,Qacr_q2,pSeva221,10,0.12747383825153
771,DH5alpha,Qacr_q2,pSeva221,20,0.11414643648938268
772,DH5alpha,Qacr_q2,pSeva221,30,0.1022866136075156
773,DH5alpha,Qacr_q2,pSeva221,40,0.1051567744360118
774,DH5alpha,Qacr_q2,pSeva221,70,0.10288965451719363
775,DH5alpha,Qacr_q2,pSeva221,100,0.10923042265012396
776,DH5alpha,Qacr_q2,pSeva221,200,0.11209040256637408
777,DH5alpha,Qacr_q2,pSeva221,500,0.11482525435976346
